N,solver_type,iterations,runtime_sec,warmup_sec,convergence
256,fixed_T500,500,0.05599895799999999,0.425116209,False
256,convergence_basic,1000,0.11863887500000003,0.38810191699999996,True
256,convergence_tiled,1000,0.1321082910000002,0.3651714159999999,True
512,fixed_T500,500,0.07128491700000028,0.003767041999999776,False
512,convergence_basic,1000,0.14470929200000038,0.0007085410000002845,True
512,convergence_tiled,1000,0.19122541700000006,0.00040416700000012185,True
1024,fixed_T500,500,0.10299287499999998,0.0043656249999997065,False
1024,convergence_basic,1000,0.223074,0.0008230419999999405,True
1024,convergence_tiled,1000,0.4469918329999998,0.00109712499999981,True
