N,type,time_sec,speedup_vs_seq,warmup_time
256,sequential,0.08166587500090827,1.0,0.0
256,multiprocessing,0.6796907919997466,0.12015151001330429,0.0
256,numba_parallel,0.06281166700136964,1.300170476276764,0.10785779100115178
512,sequential,0.30158845899859443,1.0,0.0
512,multiprocessing,0.867224833000364,0.3477627110321319,0.0
512,numba_parallel,0.0735568330019305,4.100074006594047,0.0010789160005515441
1024,sequential,1.330448125001567,1.0,0.0
1024,multiprocessing,1.6666613340021286,0.7982714291491854,0.0
1024,numba_parallel,0.16949762500007637,7.8493614586102165,0.001241125002707122
